"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-07-31,81797,"54623","WI","La Crosse","La Crosse","Coon Valley",14451,159900,0.00439698492462312,0.0178230426479949,0.0603448275862069,,,"2018-07","2018-Q3",159900,0,"2018-07"
2018-07-31,94366,"83871","ID","Moscow","Latah","Troy",14452,233200,-0.00469483568075117,-0.0143702451394759,-0.0735001986491855,,,"2017-07","2017-Q3",251700,-0.0735001986491855,"2016-09"
2018-07-31,66907,"21545","MD","Cumberland","Allegany","Mount Savage",14453,60200,-0.00823723228995058,-0.0131147540983607,-0.0444444444444444,,,"2008-04","2008-Q2",76500,-0.213071895424837,"2005-03"
2018-07-31,78125,"46382","IN","Michigan City","La Porte","Wanatah",14454,166200,0.015271838729383,0.0512333965844402,0.123732251521298,,,"2018-07","2018-Q3",166200,0,"2018-07"
2018-07-31,81132,"53001","WI","Sheboygan","Sheboygan","Scott",14455,175300,0.00458452722063037,0.0233508464681845,0.061138014527845,,,"2018-07","2018-Q3",175300,0,"2018-07"
2018-07-31,81749,"54529","WI",,"Oneida","Harshaw",14456,178500,-0.00167785234899329,0.00790513833992095,-0.0127212389380531,,,"2007-07","2007-Q3",185700,-0.0387722132471729,"2006-04"
2018-07-31,64461,"16130","PA","Youngstown","Mercer","Perry",14457,100800,0.00699300699300699,0.0171543895055499,0.008,,,"2007-03","2007-Q1",110300,-0.086128739800544,"2006-03"
2018-07-31,66102,"19951","DE","Salisbury","Sussex","Harbeson",14458,283300,0,0.0146848137535817,0.0896153846153846,,,"2005-11","2005-Q4",312800,-0.094309462915601,"2005-07"
2018-07-31,77967,"46115","IN",,"Rush","Carthage",14459,96600,0.00520291363163372,0.0189873417721519,0.032051282051282,,,"2008-03","2008-Q1",98700,-0.0212765957446809,"2007-10"
2018-07-31,82576,"56036","MN","Albert Lea","Freeborn","Glenville",14460,115600,-0.000864304235090752,-0.00430663221360896,0.000865800865800866,,,"2018-02","2018-Q1",117300,-0.0144927536231884,"2017-08"
2018-07-31,88085,"68649","NE","Fremont","Dodge","North Bend",14461,112200,0.00718132854578097,0.0190735694822888,0.124248496993988,,,"2018-07","2018-Q3",112200,0,"2018-07"
2018-07-31,90602,"74956","OK","Fort Smith","LeFlore","Shady Point",14462,80200,0,0.00880503144654088,0.167394468704512,,,"2018-07","2018-Q3",80200,0,"2018-07"
2018-07-31,96986,"92676","CA","Los Angeles-Long Beach-Anaheim","Orange","Silverado",14463,677100,0.00370589979246961,0.0116539668310175,0.0528689161872182,,,"2006-11","2006-Q4",703900,-0.0380735899985793,"2006-05"
2018-07-31,59232,"03838","NH",,"Carroll","Bartlett",14464,207700,-0.00335892514395393,0.0343625498007968,0.0613183444047011,,,"2006-11","2006-Q4",228100,-0.0894344585708023,"2005-05"
