"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-07-31,"37042","TN","Clarksville","Montgomery","Clarksville",43,946,0,-0.00105596620908131,0.00211864406779661,24945
2018-07-31,"10003","NY","New York","New York","New York",44,4187,-0.00687855787476281,-0.0255992552943914,-0.0449361313868613,895
2018-07-31,"77429","TX","Houston","Harris","Cypress",45,1767,-0.00113058224985868,0,0.0237543453070684,25550
2018-07-31,"11206","NY","New York","Kings","New York",46,2453,-0.00406008932196508,-0.0180144115292234,-0.0481179666278619,383
2018-07-31,"63376","MO","St. Louis","Saint Charles","Saint Peters",47,1499,0,0.00604026845637584,0.0197278911564626,22501
2018-07-31,"60613","IL","Chicago","Cook","Chicago",48,2480,0.000403388463089956,0.00404858299595142,-0.172505839172506,2263
2018-07-31,"77479","TX","Houston","Fort Bend","Sugar Land",49,2334,-0.000856164383561644,-0.00213766566908935,-0.0180900294488851,25516
2018-07-31,"30044","GA","Atlanta","Gwinnett","Lawrenceville",50,1391,0,0.000719424460431655,0.0334323922734027,21333
2018-07-31,"73099","OK","Oklahoma City","Canadian","Yukon",51,1240,0,0,0.00977198697068404,25690
2018-07-31,"77036","TX","Houston","Harris","Houston",52,1539,0,0,0.0198807157057654,5098
2018-07-31,"77433","TX","Houston","Harris","Cypress",53,1792,0.00111731843575419,0.0124293785310734,0.0473407364114553,24879
2018-07-31,"10463","NY","New York","Bronx","New York",54,2008,-0.00544824170381377,-0.0176125244618395,-0.0528301886792453,1227
2018-07-31,"11230","NY","New York","Kings","New York",55,2250,-0.00706090026478376,-0.0355765109301329,-0.0838762214983713,3511
2018-07-31,"60629","IL","Chicago","Cook","Chicago",56,1445,0,0,-0.00276052449965493,19027
2018-07-31,"11209","NY","New York","Kings","New York",57,2350,-0.00676246830092984,-0.0349075975359343,-0.106463878326996,3494
2018-07-31,"60625","IL","Chicago","Cook","Chicago",58,2120,0.00189035916824197,0.00808368996671422,-0.0394200271862256,5149
2018-07-31,"30043","GA","Atlanta","Gwinnett","Lawrenceville",59,1499,0,0,0.00671591672263264,22570
2018-07-31,"75034","TX","Dallas-Fort Worth","Collin","Frisco",60,2577,-0.00154978690430066,-0.00425038639876352,-0.00232288037166086,16188
2018-07-31,"11212","NY","New York","Kings","New York",61,2203,-0.000453720508166969,-0.00271616115889543,-0.020453534904402,1800
2018-07-31,"75287","TX","Dallas-Fort Worth","Dallas","Dallas",62,2098,-0.000476417341591234,-0.0014278914802475,-0.0168697282099344,5755
2018-07-31,"28277","NC","Charlotte","Mecklenburg","Charlotte",63,2062,-0.00145278450363196,-0.00290135396518375,-0.0480147737765466,17141
2018-07-31,"10024","NY","New York","New York","New York",64,4343,0.00648899188876014,0.0357739088957787,-0.00275545350172216,1057
2018-07-31,"85032","AZ","Phoenix","Maricopa","Phoenix",65,1436,-0.00208478109798471,-0.00416088765603329,-0.00139082058414465,16653
2018-07-31,"07030","NJ","New York","Hudson","Hoboken",66,2514,-0.00396196513470681,-0.0214091086025691,-0.129501385041551,2560
2018-07-31,"11214","NY","New York","Kings","New York",67,2188,-0.00227998176014592,-0.0192738682205289,-0.0645575032064985,1309
2018-07-31,"21234","MD","Baltimore","Baltimore","Parkville",68,1640,0,0.00244498777506112,0.0117211597779149,21370
2018-07-31,"33160","FL","Miami-Fort Lauderdale","Miami-Dade","Sunny Isles Beach",69,2341,-0.000853606487409304,-0.00805084745762712,-0.00298126064735946,4879
2018-07-31,"78521","TX","Brownsville","Cameron","Brownsville",70,849,0,0,-0.0482062780269058,20105
2018-07-31,"23464","VA","Virginia Beach","Virginia Beach City","Virginia Beach",71,1639,0,0.00367421922841396,0.0192786069651741,19730
2018-07-31,"77077","TX","Houston","Harris","Houston",72,2112,-0.00236183278223902,-0.00658513640639699,0.012464046021093,11278
2018-07-31,"94501","CA","San Francisco","Alameda","Alameda",73,3429,-0.000582920431361119,-0.00406622131861748,-0.0115307004900548,9809
2018-07-31,"30096","GA","Atlanta","Gwinnett","Duluth",74,1492,0,0.000670690811535882,0.0191256830601093,12459
2018-07-31,"78704","TX","Austin","Travis","Austin",75,2418,-0.00329760923330585,-0.00901639344262295,-0.0547302580140735,7683
2018-07-31,"98052","WA","Seattle","King","Redmond",76,2802,-0.000356760613628255,0,-0.0213063220398184,13670
2018-07-31,"77379","TX","Houston","Harris","Tomball",77,1867,0.000535905680600214,-0.000535331905781585,0.0418526785714286,24389
2018-07-31,"75243","TX","Dallas-Fort Worth","Dallas","Dallas",78,1994,-0.003996003996004,-0.0225490196078431,-0.0486641221374046,5822
2018-07-31,"11221","NY","New York","Kings","New York",79,2357,-0.00590468156895825,-0.0236122618061309,-0.0507450664518727,1089
