"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07"
"30263","Newnan","GA","Atlanta","Coweta",116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321275,327767,309035,315275,324000,326432.5,332073.5,327194,324000,327194,349900,364375,379350,380010,372062.5,374225,374225,377200,379562.5,380900,379900,391350,397222,390700,397222,398010,398010,415750,407762
"23322","Chesapeake","VA","Virginia Beach","Chesapeake City",117,499000,499450,475000,474750,476388.5,475000,479000,479900,498000,498000,493950,484900,479900,469900,469800,450000,450000,449000,449900,445000,449450,449900,405400,414900,421900,424650,409200,419900,418400,432125,429400,435000,419900,419900,416950,420000,429950,439500,437400,436950,440000,442000,434900,439900,427900,429900,429000,418400,419000,419900,429900,418400,413900,421625,423250,430400,434900,429650,432900,425944,430580,434000,438000,440250,446250,441900,441900,438900,443587.5,443587.5,449450,449500,450000,454900,451148,455777,456226,452777,456300,454900,449900,449900,449500,452777,452777,459800,459426,468777,463900,467505,464400,464400,453175,459900,459000,459000,459000,459000,459650,459800,464400,467900,469900
"89074","Henderson","NV","Las Vegas","Clark",118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392400,379999,375000,364900,387450,389950,381500,384000,399000,395500,399000,389900,404450,389894,394750,385450,399900,399900,399900,399900,388000,388950,385000,381900,383900,385000,385000,389950,399900,396249.5,389000,389900,397000,393000,399000,395000,417999,415999,415000,422848,439000,449111,445000,439950,439000,439000,439000,450000,469000,465000,435000,472250,449999
"77346","Atascocita","TX","Houston","Harris",119,289500,311900,282699,265900,262200,259500,265900,271450,289495,285995,275898,252000,259000,274950,263900,254900,258500,276945,281995,279000,252450,254900,259900,264990,271445,272000,299000,288720.5,308783.5,290826,295970.5,299990,290305,286494.5,299990,310000,310000,313495,302445,312000,321750,327990,333450,321900,309990,332000,368500,383156,375990,388156,379990,370700,376400,396949,405990,414990,431990,408990,403990,410490,421990,421990,414990,412990,389900,374500,405683.5,385600,365500,390445,390495,390990,378990,329900,333900,319950,328950,329990,345000,368000,368000,364000,375000,379445,389950,379900,377495,375495,375000,369000,359900,369000,369000,369000,326990,335995,325945,328945,317248,299450,321725,299900,322400
"23455","Virginia Beach","VA","Virginia Beach","Virginia Beach City",120,674000,650000,599000,599000,587000,587000,614000,629000,599000,607000,665000,627000,627000,625000,597500,599000,609900,648750,599000,598250,598250,569000,542000,589900,599900,674000,674000,690000,687000,652500,659950,645000,687000,625000,595000,592450,589900,589900,579900,644250,639000,639950,604500,594450,589900,589900,589900,598500,569900,609450,599900,659900,595000,569000,569000,519900,522000,549000,579000,630000,630000,540187.5,505375,540000,571500,6e+05,549950,552500,557000,579000,630000,571950,630000,559900,567400,559900,569900,564900,554950,574950,585000,592000,565000,587000,595000,545000,539950,579000,6e+05,630000,630000,622500,619900,606425,630000,619900,624950,624900,644750,619900,624900,6e+05,594450
"12180","Troy","NY","Albany","Rensselaer",121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119750,124000,124450,126000,122900,119900,117900,119900,119450,117900,118450,114900,114900,110000,113850,118500,112500,110000,115000,99949.5,112500,115000,107449.5,108500,99949.5,114950,123900,119900,119900,119900,118000,119900,119900,119900,118900,118900,117472.5,115450,115400,121900,129450,130000,122200,119900,129900,126952,129900,139450,125000,122000,139900,139950
"30101","Acworth","GA","Atlanta","Cobb",121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459990,449990,441745,375000,357400,387450,4e+05,419900,439900,425000,440000,457250,452450
"78254","San Antonio","TX","San Antonio","Bexar",123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269500,269500,275745,287000,280495,280227,280608.5,295000,271990,287995,286245,291490,262281,264330,271947.5,248269,255000,257405.5,257405.5,257497.5,260995,260995,274995,284500,262725,281974,279998,272499.5,291047.5,275995,269350,281000,259450,269000,269500,289990,274900,265000,269900,260000,279900,277250,296500,279445,270900,261500,260750,264000,264250,265200,266500,265000,267750
"33463","Greenacres","FL","Miami-Fort Lauderdale","Palm Beach",124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374990,365675,371995,386192.5,388692.5,388495,403325,389000,386995,386995,388442.5,389990,387895,414757.5,391530,395500,395500,394530,410835,414990,416990,416990,407945,406247.5,419990,420920,419990,414990,419990,421267.5,419990,419990,419990,419990,432495,421882.5,435000,435000,419900,429990,442495,435990,432495,435990,437994.5,425000,430000,418995
"29579","Forestbrook","SC","Myrtle Beach","Horry",125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357400,361475,355300,357600,370290,359900,359900,357400,349900,379900,369950,349990,335900,338130,352400,366416.5,336360,332400,366616.5,318856,303637,294900,309900,326900,330900,389900,373500,4e+05,4e+05,4e+05,379000,339900,349500,349000,344000,319700,313527.5,318000,323950,317055,305990,315000,318000,312450,310000,295000,307416,310000,320990,320990,319325,331700,339900,338900,336230,350000,350109.5,351309.5,307600,307600,312605,314900,314900,315000,319900,322499.5
