"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07"
"02143","Somerville","MA","Boston","Middlesex",204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3150,3400,3500,3450,3400,3400,3300,3350,3250,3200,3200,3147.5,3197.5,3400,3400,3525,3600,3550,3500,3300,3325,3000,3000,3000,3000,3525,3450,3600,3800,3600,3800,3600,3200,3200,3000,3000,3400,3600,3700,3750,3750,3800,3500,3500,3800,3500,3300,3300,3500,3900,4100,4120,4100,4050
"78244","San Antonio","TX","San Antonio","Bexar",205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1425,1397.5,1385,1325,1375,1300,1325,1310,1350,1395,1395,1395,1475
"32003","Fleming Island","FL","Jacksonville","Clay",206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1699,1750,1850,1850,1900,1895,1875,1850,1775,1785,1787.5,1750,1795,1800,1885,1950,1855,1865
"02145","Somerville","MA","Boston","Middlesex",207,,,,,,,,,,,,,,,,,,,,,,,,,2400,2450,2500,2500,2500,2600,2500,2550,2550,2600,2400,2400,2450,2600,2600,2800,2800,2875,2850,2875,2800,2600,2600,2600,2600,2700,2900,2900,2850,2850,2900,2875,2800,2800,2800,2800,2900,2900,3000,3000,3200,3175,3200,3137.5,3137.5,2975,2850,2850,3075,3200,3400,3450,3475,3475,3475,3475,3300,3300,3300,3100,3312.5,3800,3800,3775,3750,3650,3685
"02144","Somerville","MA","Boston","Middlesex",208,,,,,,,,,,,,,,,,3000,3000,3000,3200,3000,3000,3000,3000,3000,3000,3000,3300,3350,3300,3400,3375,3250,3200,3250,3200,3200,3200,3200,3200,3300,3200,3400,3500,3400,3200,3200,3150,3200,3200,3200,3275,3350,3400,3600,3600,3500,3400,3475,3500,3500,3400,3400,3750,3600,3600,3900,4000,3675,3400,3350,3350,3350,3500,3600,4000,4100,4000,4000,3900,3800,3600,3600,3600,3600,3600,3700,4200,4200,4000,4000,3995
"33579","Riverview","FL","Tampa","Hillsborough",209,,,,,,,,,,,,1295,1325,1350,1350,1372.5,1350,1350,1325,1350,1375,1395,1350,1412.5,1500,1475,1450,1475,1500,1550,1545,1500,1500,1495,1475,1475,1412.5,1450,1400,1400,1500,1485,1485,1495,1500,1485,1497.5,1495,1495,1475,1477.5,1507.5,1512.5,1550,1525,1550,1525,1500,1500,1495,1525,1550,1550,1537.5,1550,1550,1595,1550,1590,1550,1575,1500,1595,1599,1600,1647,1649,1665,1645,1655,1675,1595,1595,1600,1625,1635,1687.5,1750,1745,1725,1700
"02215","Boston","MA","Boston","Suffolk",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,4400,4400,4900,4800,4500,4200,4300,4400,4350,4225,4275,4800,5000,5100,5000,4600,4500,4400,4400
"33596","Valrico","FL","Tampa","Hillsborough",211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1847.5,1859,1885,1975,1999.5,2000,1995,1945,1945,1900,1900,1945,1887.5,1947.5,1900,1885,2000,2095,2017.5
"32832","Orlando","FL","Orlando","Orange",212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2100,2050,2095,2000,1995,2000,2000,1995,2100,2095,2105,2075,2047.5,2100,2095,2180
"79934","El Paso","TX","El Paso","El Paso",213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1197,1200,1262.5,1287,1295,1295,1312.5,1250,1250,1235,1242.5,1225,1200,1249,1262.5,1312.5,1300,1350
"02134","Boston","MA","Boston","Suffolk",214,,2600,2800,2800,2800,2700,2700,2650,2750,2600,2600,2800,3000,3000,3000,2925,2900,2800,2800,2800,2800,2800,2800,2900,3000,3050,3050,3000,3000,3000,3000,3000,3000,3000,3000,3000,3200,3200,3200,3200,3200,3200,3200,3200,3200,3000,3000,3200,3300,3400,3300,3300,3200,3200,3200,3185,3100,3100,3200,3400,3500,3500,3500,3500,3500,3400,3400,3300,3300,3200,3100,3500,3600,3600,3600,3600,3600,3500,3500,3500,3495,3200,3600,3795,3800,3800,3800,3850,3700,3700,3600
