"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-07-31,"60143","IL","Chicago","Du Page","Itasca",8607,1977,0.0010126582278481,-0.00101061141990905,-0.0119940029985008,3766
2018-07-31,"98424","WA","Seattle","Pierce","Fife",8608,1852,-0.000539665407447383,0.00108108108108108,0.0427927927927928,2598
2018-07-31,"45833","OH","Lima","Allen","Delphos",8609,851,-0.00117370892018779,-0.0104651162790698,-0.100422832980973,3539
2018-07-31,"61080","IL","Rockford","Winnebago","South Beloit",8610,1141,-0.00868809730668984,-0.028936170212766,-0.0129757785467128,3615
2018-07-31,"17313","PA","York","York","York",8611,1234,-0.000809716599190283,0.0032520325203252,0.00243704305442729,3280
2018-07-31,"48612","MI",,"Gladwin","Beaverton",8612,844,0.00118623962040332,0.00356718192627824,-0.00588928150765607,4875
2018-07-31,"53120","WI","Whitewater","Walworth","East Troy",8613,1650,0.00671140939597316,0.0436432637571157,-0.000605693519079346,3625
2018-07-31,"20607","MD","Washington","Prince Georges","Accokeek",8614,2208,-0.000452693526482571,-0.00316027088036117,-0.00180831826401447,5549
2018-07-31,"60305","IL","Chicago","Cook","River Forest",8615,2583,0.00155098875533152,-0.00424055512721665,-0.0946372239747634,4222
2018-07-31,"29654","SC","Greenville","Anderson","Honea Path",8616,846,-0.00235849056603774,-0.00353356890459364,0.0156062424969988,2810
2018-07-31,"60097","IL","Chicago","McHenry","Wonder Lake",8617,1390,0,0.00578871201157742,0.0123816460305899,4686
2018-07-31,"48604","MI","Saginaw","Saginaw","Saginaw",8618,751,0.00267022696929239,0.00805369127516779,0.0622347949080622,4021
2018-07-31,"78163","TX","San Antonio","Comal","Bulverde",8619,2093,-0.00428163653663178,-0.0274163568773234,0.00431861804222649,3603
2018-07-31,"97457","OR","Roseburg","Douglas","Myrtle Creek",8620,910,-0.00328587075575027,-0.0108695652173913,0.04,3220
2018-07-31,"33592","FL","Tampa","Hillsborough","Thonotosassa",8621,1342,0,-0.000744601638123604,-0.000744601638123604,1855
2018-07-31,"24521","VA","Lynchburg","Amherst","Amherst",8622,1237,-0.00161420500403551,-0.00241935483870968,0.0065093572009764,2556
2018-07-31,"31411","GA","Savannah","Chatham","Skidaway Island",8623,2673,-0.00483991064780342,-0.00779510022271715,0.010586011342155,4398
2018-07-31,"60190","IL","Chicago","Du Page","Winfield",8624,1934,0,0.00207253886010363,-0.00411946446961895,5061
2018-07-31,"39083","MS","Jackson","Copiah","Hazlehurst",8625,844,-0.00354191263282172,-0.00588928150765607,-0.00705882352941176,3226
2018-07-31,"93648","CA","Fresno","Fresno","Parlier",8626,1195,0,0,0.091324200913242,2326
2018-07-31,"33954","FL","Punta Gorda","Charlotte","Port Charlotte",8627,1537,-0.00259571706683971,-0.00324254215304799,0.06,4335
2018-07-31,"02347","MA","Boston","Plymouth","Lakeville",8628,2027,-0.00393120393120393,-0.0117016089712335,0.0145145145145145,4044
2018-07-31,"83669","ID","Boise City","Ada","Star",8629,1494,0,0.0053835800807537,0.0740474478792236,3170
2018-07-31,"31027","GA","Dublin","Laurens","East Dublin",8630,841,-0.00473372781065089,-0.00825471698113208,-0.00825471698113208,2396
2018-07-31,"72086","AR","Little Rock","Lonoke","Lonoke",8631,892,0,-0.00111982082866741,-0.0208562019758507,3368
2018-07-31,"24219","VA","Big Stone Gap","Wise","Big Stone Gap",8632,1040,0.00386100386100386,0.00775193798449612,0.0166177908113392,1969
2018-07-31,"98541","WA","Aberdeen","Grays Harbor","Elma",8633,1063,0.00472589792060491,0.0280464216634429,0.0191754554170662,2817
2018-07-31,"11753","NY","New York","Nassau","Jericho",8634,4108,0.00146270112140419,0.00958466453674121,-0.0101204819277108,4294
2018-07-31,"32204","FL","Jacksonville","Duval","Jacksonville",8635,1139,0,0.0124444444444444,0.018783542039356,2634
2018-07-31,"36093","AL","Montgomery","Elmore","Wetumpka",8636,1411,0.00713775874375446,0.0291757840991977,0.0601051840721262,4476
2018-07-31,"59457","MT",,"Fergus","Lewistown",8637,849,0,-0.00117647058823529,-0.0598006644518272,2570
2018-07-31,"78557","TX","McAllen","Hidalgo","Hidalgo",8638,1039,0,0.00192864030858245,-0.000961538461538462,2951
2018-07-31,"13350","NY","Utica","Herkimer","Herkimer",8639,1213,0.00413907284768212,0.0279661016949153,0.0520381613183001,2902
2018-07-31,"70647","LA","Lake Charles","Calcasieu","Iowa",8640,1412,-0.000707714083510262,-0.00493305144467935,0.0443786982248521,1983
2018-07-31,"07922","NJ","New York","Union","Berkeley Heights",8641,3167,-0.00220541902961563,0,0.14787966654585,4305
2018-07-31,"11577","NY","New York","Nassau","Roslyn Heights",8642,3918,-0.00152905198776758,-0.00305343511450382,-0.044390243902439,4017
2018-07-31,"07057","NJ","New York","Bergen","Wallington",8643,1893,-0.00525486074619023,-0.0196789228379078,-0.0637982195845697,2317
2018-07-31,"72834","AR","Russellville","Yell","Dardanelle",8644,824,0.0024330900243309,0.00733496332518337,0.0236024844720497,2833
2018-07-31,"31639","GA",,"Berrien","Nashville",8645,995,0,-0.00100401606425703,-0.00599400599400599,2415
2018-07-31,"45122","OH","Cincinnati","Clermont","Goshen",8646,1230,-0.00404858299595142,-0.0112540192926045,-0.0545734050730208,3310
2018-07-31,"12202","NY","Albany","Albany","Albany",8647,1142,0,0.0088339222614841,0.00351493848857645,2092
2018-07-31,"95726","CA","Sacramento","El Dorado","Pollock Pines",8648,1599,0,-0.010519801980198,-0.0436602870813397,3220
2018-07-31,"48128","MI","Detroit","Wayne","Dearborn",8649,1213,-0.00164609053497942,-0.0106035889070147,-0.00328677074774034,4263
2018-07-31,"86047","AZ","Show Low","Navajo","Winslow",8650,848,-0.00469483568075117,-0.026406429391504,0.0747782002534854,2550
2018-07-31,"87801","NM",,"Socorro","Socorro",8651,899,-0.00553097345132743,-0.0260021668472373,-0.101898101898102,1137
2018-07-31,"13619","NY","Watertown","Jefferson","Carthage",8652,1187,-0.00168208578637511,-0.00252100840336134,-0.0230452674897119,3113
2018-07-31,"78957","TX","Austin","Bastrop","Smithville",8653,1292,0,0.00232738557020946,0.000774593338497289,2611
2018-07-31,"19952","DE","Dover","Kent","Harrington",8654,1199,0,0.000834724540901503,0,2927
2018-07-31,"02343","MA","Boston","Norfolk","Holbrook",8655,2343,0.0042863266180883,0.027181060938185,0.043652561247216,3477
2018-07-31,"23510","VA","Virginia Beach","Norfolk City","Norfolk",8656,1479,-0.00269723533378287,0,0.00543847722637661,1544
2018-07-31,"27523","NC","Raleigh","Wake","Apex",8657,1746,0,0.00114678899082569,-0.0202020202020202,3040
2018-07-31,"42743","KY",,"Green","Greensburg",8658,791,-0.00377833753148615,-0.0198265179677819,-0.0616844602609727,2348
2018-07-31,"60171","IL","Chicago","Cook","River Grove",8659,1612,0.000620732464307883,-0.00247524752475248,-0.0182704019488429,2909
2018-07-31,"07438","NJ","New York","Morris","Jefferson",8660,2173,-0.00458085203847916,-0.0154055278658813,0.0163704396632367,4161
2018-07-31,"29356","SC","Greenville","Greenville","Landrum",8661,1224,-0.00163132137030995,-0.0072992700729927,-0.0247011952191235,3347
2018-07-31,"47842","IN","Terre Haute","Vermillion","Clinton",8662,725,0,0.00276625172890733,-0.0447957839262187,3946
2018-07-31,"14001","NY","Buffalo","Erie","Newstead",8663,1342,0,0,-0.112433862433862,2742
2018-07-31,"10918","NY","New York","Orange","Chester",8664,1998,-0.000500250125062531,-0.00398803589232303,0.0142131979695431,4048
2018-07-31,"55051","MN",,"Kanabec","Mora",8665,1299,0.000770416024653313,0.0108949416342412,0.0196232339089482,3597
2018-07-31,"93546","CA",,"Mono","Mammoth Lakes",8666,2247,0.00267737617135207,0.00357302367128182,0.0195099818511797,9307
2018-07-31,"31793","GA","Tifton","Tift","Tifton",8667,1187,0.000843170320404722,0.00508044030482642,0.0277056277056277,2194
2018-07-31,"97503","OR","Medford","Jackson","White City",8668,1240,0,0.0105949470252649,0.0163934426229508,2035
2018-07-31,"28777","NC",,"Mitchell","Spruce Pine",8669,1093,-0.00364630811303555,-0.00545950864422202,0.0243673851921275,2438
2018-07-31,"11598","NY","New York","Nassau","Woodmere",8670,3670,0.000272553829381303,0.00907341215287325,0.0177481974486966,3979
2018-07-31,"14004","NY","Buffalo","Erie","Alden",8671,1354,0.00073909830007391,0.00370644922164566,-0.0732375085557837,3262
2018-07-31,"27958","NC","Virginia Beach","Currituck","Moyock",8672,1346,-0.00443786982248521,-0.0139194139194139,-0.0406272273699216,3577
2018-07-31,"55445","MN","Minneapolis-St Paul","Hennepin","Brooklyn Park",8673,1616,0,0,0.0157133878064111,4028
2018-07-31,"77461","TX","Houston","Fort Bend","Needville",8674,1542,0.000648929266709929,0.00260078023407022,0.0225464190981432,3542
2018-07-31,"78257","TX","San Antonio","Bexar","San Antonio",8675,3434,-0.00116346713205352,-0.00290360046457607,-0.11971289412971,1967
2018-07-31,"30752","GA","Chattanooga","Dade","Trenton",8676,990,0.00101112234580384,0.00405679513184584,0.0206185567010309,3684
2018-07-31,"89060","NV","Pahrump","Nye","Pahrump",8677,1239,0.00405186385737439,0.0197530864197531,0.0526762956669499,1792
2018-07-31,"08106","NJ","Philadelphia","Camden","Audubon",8678,1530,-0.00195694716242661,-0.00520156046814044,-0.0630740967544397,3191
2018-07-31,"98403","WA","Seattle","Pierce","Tacoma",8679,1835,-0.000544662309368192,0.00603070175438596,0.040249433106576,2844
2018-07-31,"24522","VA","Lynchburg","Appomattox","Appomattox",8680,1140,0.000877963125548727,0.000877963125548727,0,2158
2018-07-31,"43338","OH","Columbus","Morrow","Mount Gilead",8681,997,-0.00100200400801603,-0.00499001996007984,-0.0310981535471331,3170
2018-07-31,"44657","OH","Canton","Stark","Minerva",8682,851,-0.00351288056206089,-0.0195852534562212,-0.0150462962962963,3015
