"RegionName","City","State","Metro","CountyName","SizeRank","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07"
"60657","Chicago","IL","Chicago","Cook",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,1.72222222222222,1.73636363636364,1.70075757575758,1.75955710955711,1.795,1.64285714285714,1.82857142857143,1.82307692307692,1.88376623376623,1.86,1.82142857142857,1.69598484848485,1.6875,1.66547619047619,1.72666666666667,1.74375,1.8,1.84807692307692,1.85714285714286,1.92582417582418,1.96296296296296,1.9468085106383,1.87096774193548,1.81291666666667,1.83333333333333,1.82307692307692,1.76731123388582,1.85,1.93176693096676,2,1.99166666666667,1.99,1.995,1.99375,1.9,1.87096774193548,1.80718588640275,1.8047619047619,1.825,1.86,1.89472598105548,1.93157432696059,1.96231060606061,1.996,1.9775,1.97142857142857
"10023","New York","NY","New York","New York",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02225519287834,5.15330520393812,5.07506683551428,5.04545454545455,4.85673818088386,4.9476688867745,5.07246376811594,5.18867924528302,5.07462686567164,5.02225519287834,5.18181818181818,4.9652118912081,5.03966290397402,5.04117152466368,5.0476740499162,5.10833333333333
"60614","Chicago","IL","Chicago","Cook",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33552631578947,2.17857142857143,2.35056390977444,2.12916666666667,2.10526315789474,2.125,2.12632978723404,2.18897637795276,2.17164179104478,2.08333333333333,2.1,2,2.08689969604863,2.06551724137931,2.14285714285714,2.16666666666667,2.13166666666667,2.11764705882353,2.125,2.125,2.11055555555556,2.13505507343124,2.1,2.11,2.125,2.15,2.125,2.16666666666667,2.18733657482442,2.1875,2.19,2.17105263157895
"60640","Chicago","IL","Chicago","Cook",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.7,1.7,1.72222222222222,1.7,1.66666666666667,1.66666666666667,1.68571428571429,1.67261904761905,1.7,1.625,1.71547619047619,1.75,1.75,1.74264069264069,1.73560295324036,1.71428571428571,1.72413793103448
"94109","San Francisco","CA","San Francisco","San Francisco",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85714285714286,4.57291666666667,4.51879521750552,4.66666666666667,4.46969696969697,4.44074074074074,4.44444444444444,4.54136690647482,4.51911308792628,4.54545454545455,4.5644978862271,4.36257357750164,4.40375825292026,4.44388014220416,4.49494949494949,4.5644978862271,4.6197175840033,4.58793208004851,4.58333333333333,4.85714285714286,4.94269340974212,4.95750708215297,4.8365617433414,4.95750708215297,4.95750708215297,4.88668555240793,4.51943345323741,4.63542096219931,4.95750708215297,4.79955808080808,4.63166666666667,4.73205257836198,4.66666666666667,4.61538461538461,4.63166666666667,4.40375825292026,4.32480141218005,4.44388014220416,4.53333333333333,4.46969696969697,4.54136690647482,4.54136690647482,4.69835945399393,4.66024340770791,4.55497382198953,4.73401992951756,4.56136275813472,4.60317930489731,4.60224780701754,4.66039335367921,4.77951906899789,4.91098983502749,4.72657708100037,4.52173913043478,4.59770114942529,4.64101620029455,4.64476245404081,4.52173913043478,4.54136690647482
"11226","New York","NY","New York","Kings",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27272727272727,2.33333333333333,2.4375,2.4375,2.45454545454545,2.56904761904762,2.5625,2.51190476190476,2.6547619047619,2.64285714285714,2.61384615384615,2.53571428571429,2.46666666666667,2.5,2.49916666666667,2.58333333333333,2.65555555555556,2.599,2.61384615384615,2.61114058355438
"10016","New York","NY","New York","New York",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19212295869356,5.13019607843137,5.06782945736434,5.07752403846154,5.10259067357513,5.18134715025907,5.11129326047359,5.2125,5.26501766784452,5.24597222222222,5.07682775712516,5.07617728531856,5.08386842401712,5.07692307692308,4.98921279491833,4.96051948051948,4.99833333333333,5,5.10733070348455,5.125,5.125,4.99166666666667,5.05946651014153,4.99486607142857,5.10555555555556,4.99427083333333,5.15971189591078,4.9984375,4.85128522579884,4.95227272727273,5.19818731117825,5.13040729402369,5.26685721633817,5.14435695538058,5.17666666666667,5.25032981530343,5.27804435913841,5.07682775712516,5.02560975609756,4.96350364963504,4.96350364963504,5.10657596371882,5.14308588064047,5.22522522522523,5.11111111111111,5.23238636363636,5.26060810258923,5.26578517517179,5.34810352521196
"11375","New York","NY","New York","Queens",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22920218328725,2.25,2.24791666666667,2.27272727272727,2.27581941867656,2.31611152005889,2.31316725978648,2.3,2.28472222222222,2.39823891625616,2.41788321167883,2.3972602739726,2.3961301369863,2.40755297334245,2.38095238095238,2.36431818181818,2.43167701863354,2.43561164333088,2.42105263157895,2.44097222222222,2.45833333333333,2.4,2.35148514851485,2.33333333333333,2.29166666666667,2.38997695852535,2.3035102739726,2.34215885947047,2.31205448065173,2.33333333333333,2.35714285714286,2.36363636363636,2.34705882352941,2.37883333333333,2.38461538461538,2.40454545454545,2.43027777777778,2.39333333333333,2.375,2.4,2.4375,2.45833333333333,2.41583333333333,2.44222222222222,2.44827586206897,2.45454545454545,2.47148840206186,2.43163340724316,2.46666666666667,2.44642857142857,2.45454545454545,2.5,2.475,2.57142857142857,2.5,2.42857142857143,2.43472222222222
"11235","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94074074074074,3.07142857142857,3.11352657004831,2.70735524256651,2.57352941176471,2.36272727272727,2.3,2.3,2.285768728223,2.3,2.34783950617284,2.29166666666667,2.37028578358058,2.34759271627249
"90250","Hawthorne","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.10940133486146,2.1625,2.11598746081505,2.0234375,2.02040816326531,1.97869890616005,2.03937007874016,2,1.94736842105263,2.05170902716915,2.16704545454545,2.05170902716915,2.11175153513939,1.94348739495798,1.8937969924812
