RegionName,City,State,Metro,CountyName,SizeRank,MedianPricePerSqft
32807,Orlando,FL,Orlando,Orange,2987,153.3991228
7032,Kearny,NJ,New York,Hudson,2988,214.8567508
34606,Spring Hill,FL,Tampa,Hernando,2988,98.22030349
73159,Oklahoma City,OK,Oklahoma City,Oklahoma,2988,87.44389275
8742,Point Pleasant,NJ,New York,Ocean,2991,318.6493739
40701,Corbin,KY,London,Whitley,2992,86.6916816
92220,Banning,CA,Riverside,Riverside,2992,198.9140557
49548,Grand Rapids,MI,Grand Rapids,Kent,2994,135.8969185
96782,Pearl City,HI,Urban Honolulu,Honolulu,2994,473.7063186
91941,La Mesa,CA,San Diego,San Diego,2996,339.566437
66044,Lawrence,KS,Lawrence,Douglas,2997,131.7304224
67217,Wichita,KS,Wichita,Sedgwick,2998,84.16791746
54304,Green Bay,WI,Green Bay,Brown,2999,113.5912698
29680,Simpsonville,SC,Greenville,Greenville,3000,108.8263822
91316,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,3001,466.5540004
97267,Oatfield,OR,Portland,Clackamas,3002,211.1455098
87106,Albuquerque,NM,Albuquerque,Bernalillo,3003,198.1900452
24541,Danville,VA,Danville,Danville City,3004,74.87347668
76901,San Angelo,TX,San Angelo,Tom Green,3005,110.6639839
95966,Oroville,CA,Chico,Butte,3005,161.9005963
89511,Reno,NV,Reno,Washoe,3007,277.6935246
19002,Upper Dublin,PA,Philadelphia,Montgomery,3008,191.2642431
97603,Klamath Falls,OR,Klamath Falls,Klamath,3009,128.8418869
26101,Parkersburg,WV,Parkersburg,Wood,3010,68.16359262
34758,Poinciana,FL,Orlando,Osceola,3011,107.4660633
45429,Kettering,OH,Dayton,Montgomery,3012,109.4184836
84081,West Jordan,UT,Salt Lake City,Salt Lake,3013,178.7107259
78221,San Antonio,TX,San Antonio,Bexar,3014,109.4904848
98119,Seattle,WA,Seattle,King,3015,628.5714286
32309,Tallahassee,FL,Tallahassee,Leon,3016,144.4334541
22306,Hybla Valley,VA,Washington,Fairfax,3017,289.3084521
79720,Big Spring,TX,Big Spring,Howard,3018,60.65467044
12309,Niskayuna,NY,Albany,Schenectady,3019,148.8871453
65721,Ozark,MO,Springfield,Christian,3020,123.7903226
35211,Birmingham,AL,Birmingham,Jefferson,3021,26.60060976
85298,Gilbert,AZ,Phoenix,Maricopa,3021,172.1235821
94903,San Rafael,CA,San Francisco,Marin,3023,566.9939154
32720,Deland,FL,Daytona Beach,Volusia,3024,132.9041138
68116,Omaha,NE,Omaha,Douglas,3025,144.5846934
27455,Greensboro,NC,,Guilford,3026,123.9722337
19135,Philadelphia,PA,Philadelphia,Philadelphia,3027,114.5138889
14534,Pittsford,NY,Rochester,Monroe,3028,142.4408011
29625,Anderson,SC,Greenville,Anderson,3029,101.6694497
64015,Blue Springs,MO,Kansas City,Jackson,3029,124.7433051
86406,Lake Havasu City,AZ,Lake Havasu City,Mohave,3031,185.3085767
30215,Fayetteville,GA,Atlanta,Fayette,3032,129.769299
32937,Satellite Beach,FL,Melbourne,Brevard,3033,202.0821759
78705,Austin,TX,Austin,Travis,3034,351.4880826
40004,Bardstown,KY,Bardstown,Nelson,3035,118.4992243
45420,Dayton,OH,Dayton,Montgomery,3035,85.26988636
2125,Boston,MA,Boston,Suffolk,3037,408.1784387
12303,Schenectady,NY,Albany,Schenectady,3037,127.9497999
92651,Laguna Beach,CA,Los Angeles-Long Beach-Anaheim,Orange,3037,1293.857807
89002,Henderson,NV,Las Vegas,Clark,3040,166.8694242
77019,Houston,TX,Houston,Harris,3041,258.1102439
