Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
7/31/2018,58386,1501,MA,Worcester,Worcester,Auburn,6500,265900,0.003017729,0.018383761,0.083978801,,,2005-10,2005-Q4,269200,-0.012258544,2005-06
7/31/2018,79133,48323,MI,Detroit,Oakland,West Bloomfield,6501,338500,0.009543692,0.029188203,0.052549751,,,2005-03,2005-Q1,340500,-0.005873715,2004-11
7/31/2018,81256,53158,WI,Chicago,Kenosha,Pleasant Prairie,6502,239000,0.011426153,0.049165935,0.114219114,,,2018-07,2018-Q3,239000,0,2018-07
7/31/2018,79114,48302,MI,Detroit,Oakland,Bloomfield Hills,6503,490100,0.0061589,0.032441542,0.059904844,,,2006-06,2006-Q2,515400,-0.049088087,2004-12
7/31/2018,72291,32903,FL,Melbourne,Brevard,Melbourne,6504,362300,-0.003301238,-0.005762898,0.047109827,,,2005-10,2005-Q4,408700,-0.113530707,2005-03
7/31/2018,98904,96768,HI,Kahului,Maui,Makawao,6505,681200,0.004275394,0.009633911,0.086443381,,,2018-07,2018-Q3,681200,0,2018-07
7/31/2018,417443,85139,AZ,Phoenix,Pinal,Maricopa,6506,187300,0.009159483,0.025177887,0.084539664,,,2006-08,2006-Q3,258100,-0.274312282,2005-04
7/31/2018,87427,67042,KS,Wichita,Butler,El Dorado,6507,84100,0.004778973,0.020631068,0.056532663,,,2008-01,2008-Q1,100400,-0.162350598,
7/31/2018,72046,32534,FL,Pensacola,Escambia,Pensacola,6508,125100,0.004012841,0.027093596,0.086880973,,,2006-05,2006-Q2,137600,-0.090843023,2005-08
7/31/2018,93115,79903,TX,El Paso,El Paso,El Paso,6509,97100,0.006217617,0.018887723,0.070562293,,,2018-07,2018-Q3,97100,0,2018-07
7/31/2018,82159,55306,MN,Minneapolis-St Paul,Dakota,Burnsville,6510,295700,0,0.015453297,0.041930937,,,2018-07,2018-Q3,295700,0,2018-07
7/31/2018,85944,63126,MO,St. Louis,Saint Louis,Crestwood,6511,225900,0.003553976,0.014824798,0.066572238,,,2018-07,2018-Q3,225900,0,2018-07
7/31/2018,93586,80908,CO,Colorado Springs,El Paso,Black Forest,6512,501100,0.001599041,0.011301715,0.076476907,,,2018-07,2018-Q3,501100,0,2018-07
7/31/2018,62663,12561,NY,Kingston,Ulster,New Paltz,6513,290600,0.006232687,0.027944818,0.114263804,,,2005-12,2005-Q4,310000,-0.062580645,2005-04
7/31/2018,93581,80903,CO,Colorado Springs,El Paso,Colorado Springs,6514,254200,0.003157064,0.009130607,0.108591365,,,2018-07,2018-Q3,254200,0,2018-07
7/31/2018,90805,75253,TX,Dallas-Fort Worth,Dallas,Dallas,6515,151500,0.00731383,0.039807824,0.145990923,,,2018-07,2018-Q3,151500,0,2018-07
7/31/2018,74625,38063,TN,,Lauderdale,Ripley,6516,65000,-0.003067485,0.00619195,0.069078947,,,2007-07,2007-Q3,70400,-0.076704545,2006-08
7/31/2018,59570,4605,ME,,Hancock,Mariaville,6517,170000,0.007705987,0.014319809,0.02905569,,,2005-07,2005-Q3,193800,-0.122807018,
7/31/2018,96129,90293,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,6518,760500,-0.003145891,0.001580403,0.092515443,,,2018-06,2018-Q2,762900,-0.003145891,2018-05
7/31/2018,61079,8406,NJ,Atlantic City,Atlantic,Ventnor City,6519,250500,0.012530315,0.041147132,0.141230068,,,2006-12,2006-Q4,397900,-0.370444835,2004-04
7/31/2018,73450,35406,AL,Tuscaloosa,Tuscaloosa,Tuscaloosa,6520,313900,0,0.00997426,0.065874363,,,2018-07,2018-Q3,313900,0,2018-07
7/31/2018,80793,52002,IA,Dubuque,Dubuque,Dubuque,6521,196700,-0.002535497,0.001527495,-0.011557789,,,2017-05,2017-Q2,202500,-0.028641975,2017-04
7/31/2018,81634,54241,WI,Manitowoc,Manitowoc,Two Rivers,6522,85400,0.004705882,-0.003500583,-0.037204059,,,2005-06,2005-Q2,99400,-0.14084507,2000-10
7/31/2018,98114,95330,CA,Stockton,San Joaquin,Lathrop,6523,406800,0.005934718,0.022110553,0.059650951,,,2006-02,2006-Q1,476500,-0.146274921,2005-03
7/31/2018,82766,56304,MN,St. Cloud,Stearns,Saint Cloud,6524,154200,0.00260078,0.02322495,0.048266485,,,2007-06,2007-Q2,167300,-0.078302451,2007-01
7/31/2018,97978,95110,CA,San Jose,Santa Clara,San Jose,6525,849000,0.015793252,0.055970149,0.266408115,,,2018-07,2018-Q3,849000,0,2018-07
7/31/2018,95316,87122,NM,Albuquerque,Bernalillo,Albuquerque,6526,503400,-0.001586672,-0.002575788,0.000397456,,,2007-11,2007-Q4,546600,-0.079034029,2006-06
7/31/2018,75351,39562,MS,Gulfport,Jackson,Moss Point,6527,118200,0.014592275,0.079452055,0.094444444,,,2012-05,2012-Q2,137200,-0.138483965,2008-09
7/31/2018,63830,15009,PA,Pittsburgh,Beaver,Brighton,6528,177900,-0.002802691,0.009648127,0.091411043,,,2018-06,2018-Q2,178400,-0.002802691,2018-06
7/31/2018,60298,6415,CT,New London,New London,Colchester,6529,249500,0.005642886,0.010530579,0.054076891,,,2006-05,2006-Q2,287500,-0.132173913,2004-09
7/31/2018,98952,96821,HI,Urban Honolulu,Honolulu,Honolulu,6530,1337800,0.003450345,0.014099454,0.031775413,,,2018-07,2018-Q3,1337800,0,2018-07
7/31/2018,71150,30474,GA,Vidalia,Toombs,Vidalia,6531,115700,0.004340278,0.015803336,0.048957389,,,2018-07,2018-Q3,115700,0,2018-07
7/31/2018,77161,44420,OH,Youngstown,Trumbull,Girard,6532,74300,-0.002684564,0.010884354,0.075253256,,,2004-11,2004-Q4,81800,-0.091687042,2000-10
7/31/2018,84575,60546,IL,Chicago,Cook,Riverside,6533,275700,-0.006486486,-0.007202017,0.048288973,,,2006-04,2006-Q2,332100,-0.169828365,2004-04
7/31/2018,70561,29572,SC,Myrtle Beach,Horry,Myrtle Beach,6534,183300,-0.001089918,-0.003262643,0.054660529,,,2006-07,2006-Q3,308800,-0.406411917,2004-08
7/31/2018,73310,35080,AL,Birmingham,Shelby,Helena,6535,182900,0,0.003841932,0.044545974,,,2018-07,2018-Q3,182900,0,2018-07
7/31/2018,67160,22124,VA,Washington,Fairfax,Oakton,6536,738500,-0.004985179,-0.016513517,0.020591487,,,2005-10,2005-Q4,768700,-0.039287108,2005-05
7/31/2018,89504,72364,AR,Memphis,Crittenden,Marion,6537,144000,0,-0.003460208,0.027104137,,,2007-07,2007-Q3,145800,-0.012345679,2007-04
7/31/2018,70298,29078,SC,Columbia,Kershaw,Lugoff,6538,133900,-0.011078287,-0.009615385,0.058498024,,,2018-05,2018-Q2,136000,-0.015441176,2018-03
7/31/2018,87600,67460,KS,McPherson,McPherson,McPherson,6539,142700,0.004222379,0.014935989,0.040846098,,,2018-07,2018-Q3,142700,0,2018-07
7/31/2018,74377,37416,TN,Chattanooga,Hamilton,Chattanooga,6540,134900,0,0.012003001,0.03609831,,,2018-07,2018-Q3,134900,0,2018-07
7/31/2018,61847,10538,NY,New York,Westchester,Larchmont,6541,1152900,-0.015961079,-0.038769385,-0.027252784,,,2017-10,2017-Q4,1211300,-0.048212664,2017-05
7/31/2018,63965,15234,PA,Pittsburgh,Allegheny,Castle Shannon,6542,140000,0.001430615,0.009372747,0.039346696,,,2018-07,2018-Q3,140000,0,2018-07
7/31/2018,70642,29662,SC,Greenville,Greenville,Mauldin,6543,171700,0.002920561,0.008813161,0.069781931,,,2018-07,2018-Q3,171700,0,2018-07
7/31/2018,72674,33549,FL,Tampa,Hillsborough,Lutz,6544,248600,0.002823719,0.010569106,0.08891809,,,2006-09,2006-Q3,272300,-0.087036357,2006-02
7/31/2018,93533,80751,CO,Sterling,Logan,Sterling,6545,138100,0.000724638,0.007293946,0.000724638,,,2017-12,2017-Q4,145000,-0.047586207,2017-08
7/31/2018,63227,13669,NY,Ogdensburg,Saint Lawrence,Ogdensburg,6546,66900,0.004504505,0.009049774,0.068690096,,,2018-07,2018-Q3,66900,0,2018-07
