Zip,City,State,Metro,CountyName,SizeRank,Latitude,Longitude
61301,La Salle,IL,Ottawa,La Salle,7744,41.365092,-89.0866
21047,Fallston,MD,Baltimore,Harford,7745,39.531206,-76.439035
34429,Crystal River,FL,Homosassa Springs,Citrus,7745,28.850606,-82.667285
33972,Lehigh Acres,FL,Fort Myers,Lee,7747,26.64928,-81.616279
81006,Pueblo,CO,Pueblo,Pueblo,7748,38.236078,-104.501002
97089,Damascus,OR,Portland,Clackamas,7748,45.46125,-122.44075
1879,Tyngsboro,MA,Boston,Middlesex,7750,42.67676,-71.42451
32908,Palm Bay,FL,Melbourne,Brevard,7751,27.95504,-80.692096
70665,Sulphur,LA,Lake Charles,Calcasieu,7752,30.200948,-93.443701
8079,Salem,NJ,Philadelphia,Salem,7753,39.587729,-75.439362
66226,Shawnee,KS,Kansas City,Johnson,7754,39.001064,-94.891914
84087,Woods Cross,UT,Ogden,Davis,7755,40.889027,-111.926646
85003,Phoenix,AZ,Phoenix,Maricopa,7755,33.450662,-112.078353
57785,Sturgis,SD,Rapid City,Meade,7757,44.369172,-103.361658
98077,Woodinville,WA,Seattle,King,7758,47.752379,-122.060283
63044,Bridgeton,MO,St. Louis,Saint Louis,7759,38.7514,-90.411542
89703,Carson City,NV,Carson City,Carson City,7759,39.271166,-119.942088
35634,Florence,AL,Florence,Lauderdale,7761,34.689824,-87.91641
92067,Rancho Santa Fe,CA,San Diego,San Diego,7761,33.005026,-117.21569
60410,Channahon,IL,Chicago,Will,7763,41.43313,-88.199325
7604,Hasbrouck Heights,NJ,New York,Bergen,7764,40.854553,-74.07417
38060,Oakland,TN,Memphis,Fayette,7764,34.770408,-89.467718
19475,East Vincent,PA,Philadelphia,Chester,7766,40.176492,-75.55675
93109,Santa Barbara,CA,Santa Maria-Santa Barbara,Santa Barbara,7766,34.406997,-119.723668
15037,Elizabeth,PA,Pittsburgh,Allegheny,7768,40.26924,-79.88977
97479,Sutherlin,OR,Roseburg,Douglas,7768,43.39012,-123.31258
2921,Cranston,RI,Providence,Providence,7770,41.766854,-71.517296
93465,Templeton,CA,San Luis Obispo,San Luis Obispo,7771,35.517781,-120.65385
7885,Wharton,NJ,New York,Morris,7772,40.89315,-74.58183
83644,Middleton,ID,Boise City,Canyon,7772,43.70683,-116.62014
60712,Lincolnwood,IL,Chicago,Cook,7774,41.908148,-87.74419
98346,Kingston,WA,Bremerton,Kitsap,7774,47.834483,-122.547078
34604,Spring Hill,FL,Tampa,Hernando,7776,28.476942,-82.434791
2769,Rehoboth,MA,Providence,Bristol,7777,41.852989,-71.243061
39567,Pascagoula,MS,Gulfport,Jackson,7777,30.365446,-88.540115
76645,Hillsboro,TX,,Hill,7779,31.937903,-97.057661
89441,Sparks,NV,Reno,Washoe,7779,39.64908,-119.70741
54615,Black River Falls,WI,,Jackson,7781,44.295394,-90.83128
29829,Graniteville,SC,Augusta,Aiken,7782,33.56375,-81.80789
4730,Houlton,ME,,Aroostook,7783,46.121345,-67.833009
43103,Ashville,OH,Columbus,Pickaway,7783,39.71562,-82.95296
8201,Absecon,NJ,Atlantic City,Atlantic,7785,39.42845,-74.49571
11576,Roslyn,NY,New York,Nassau,7785,40.79982,-73.65096
32640,Hawthorne,FL,Palatka,Putnam,7785,29.59191,-82.08732
47119,Floyds Knobs,IN,Louisville/Jefferson County,Floyd,7785,38.35257,-85.890727
92313,Grand Terrace,CA,Riverside,San Bernardino,7785,34.031011,-117.312929
62454,Robinson,IL,,Crawford,7790,39.004559,-87.751776
87004,Bernalillo,NM,Albuquerque,Sandoval,7790,35.30004,-106.55114
8620,Hamilton,NJ,Trenton,Mercer,7792,40.170048,-74.651278
6268,Mansfield,CT,Hartford,Tolland,7793,41.805588,-72.246165
38462,Hohenwald,TN,,Lewis,7793,35.526554,-87.489057
2568,Vineyard Haven,MA,Vineyard Haven,Dukes,7795,41.458594,-70.61592
14870,Erwin,NY,Corning,Steuben,7795,42.047111,-77.061862
19086,Nether Providence,PA,Philadelphia,Delaware,7797,39.896711,-75.370385
92325,Crestline,CA,Riverside,San Bernardino,7797,34.2501,-117.29463
46184,New Whiteland,IN,Indianapolis,Johnson,7799,39.55005,-86.07971
28457,Rocky Point,NC,Wilmington,Pender,7800,34.477635,-77.816971
30525,Clayton,GA,,Rabun,7801,34.886868,-83.375358
34987,Port Saint Lucie,FL,Port St. Lucie,Saint Lucie,7802,27.29076,-80.484851
36064,Pike Road,AL,Montgomery,Montgomery,7802,32.283075,-86.102397
72560,Mountain View,AR,,Stone,7804,35.820825,-92.038894
35043,Chelsea,AL,Birmingham,Shelby,7805,33.298238,-86.656328
45404,Dayton,OH,Dayton,Montgomery,7806,39.794958,-84.163589
85305,Glendale,AZ,Phoenix,Maricopa,7807,33.531789,-112.2562
1462,Lunenburg,MA,Worcester,Worcester,7808,42.583322,-71.752266
