RegionID,RegionName,StateName,SizeRank,Price
99136,97222,OR,1045,336900
79121,48310,MI,1046,
72172,32724,FL,1047,
94279,83706,ID,1048,2.81E+05
88817,70808,LA,1049,2.91E+05
72474,33172,FL,1050,182800
91693,77044,TX,1051,210800
58226,1040,MA,1052,
96127,90291,CA,1053,2024800
96351,91320,CA,1054,6.81E+05
70925,30152,GA,1055,
88443,70056,LA,1055,165700
417436,85120,AZ,1056,191200
96451,91606,CA,1057,642200
96594,92025,CA,1058,507900
67540,23111,VA,1059,232300
96424,91423,CA,1060,1030400
65797,19130,PA,1061,339600
96858,92395,CA,1062,216800
73051,34232,FL,1063,223500
65738,19063,PA,1064,
69820,28273,NC,1065,219900
76526,43110,OH,1066,173700
97317,93534,CA,1066,237300
93255,80126,CO,1067,
99072,97080,OR,1068,3.62E+05
99143,97230,OR,1069,312900
97704,94404,CA,1070,
78997,48126,MI,1071,
63633,14612,NY,1072,
99138,97224,OR,1072,412900
94884,85302,AZ,1073,
96046,90065,CA,1074,848800
399655,85286,AZ,1074,359900
66632,20785,MD,1075,
72458,33155,FL,1076,349100
74238,37207,TN,1077,217300
91852,77338,TX,1077,150600
74334,37363,TN,1078,259100
70879,30102,GA,1079,
66596,20743,MD,1080,
61216,8857,NJ,1081,
93282,80205,CO,1082,469500
97570,94116,CA,1082,
66757,21060,MD,1083,
72352,33014,FL,1084,249700
97850,94804,CA,1085,480400
96915,92557,CA,1086,330300
70983,30252,GA,1087,
97951,95050,CA,1088,1200800
81299,53219,WI,1089,133900
97994,95126,CA,1090,1.08E+06
69710,28092,NC,1091,
72883,33880,FL,1091,133200
84453,60302,IL,1092,283700
90660,75060,TX,1093,181400
60105,6040,CT,1094,
72157,32707,FL,1095,
63482,14225,NY,1096,
96220,90723,CA,1097,358900
72707,33604,FL,1098,
94792,85086,AZ,1099,316300
84324,60068,IL,1100,3.84E+05
88445,70058,LA,1101,136800
72356,33018,FL,1102,331700
96128,90292,CA,1103,1035700
91292,76180,TX,1104,219400
94805,85210,AZ,1104,
90671,75075,TX,1105,306700
96113,90262,CA,1106,
96050,90069,CA,1107,960600
67606,23231,VA,1108,171100
96588,92019,CA,1109,487400
99511,98026,WA,1109,548300
60317,6450,CT,1110,
96634,92084,CA,1111,5.36E+05
96225,90740,CA,1112,921900
91339,76262,TX,1113,351700
96159,90501,CA,1113,618100
72765,33702,FL,1114,
73155,34653,FL,1115,127600
85993,63304,MO,1116,242200
73396,35226,AL,1117,
79019,48154,MI,1118,
77046,44146,OH,1119,
90731,75154,TX,1120,230100
100155,99206,WA,1120,239600
71056,30338,GA,1121,
96927,92584,CA,1122,377200
72450,33147,FL,1123,161700
63937,15206,PA,1124,
93304,80228,CO,1125,445400
89935,73110,OK,1126,73300
66212,20110,VA,1127,309800
96479,91732,CA,1127,517100
75581,40229,KY,1128,145900
92658,78749,TX,1128,362800
80288,50317,IA,1129,110200
93280,80203,CO,1130,323500
61208,8844,NJ,1131,359500
85937,63119,MO,1131,222200
84330,60074,IL,1132,1.87E+05
93320,80247,CO,1133,222400
74592,38018,TN,1134,161300
82257,55407,MN,1134,243600
84296,60031,IL,1135,212500
70078,28625,NC,1136,156300
67819,23831,VA,1137,230600
92288,78154,TX,1138,
94467,84107,UT,1139,
70288,29063,SC,1140,
95321,87144,NM,1140,
95800,89104,NV,1141,
61627,10013,NY,1142,4025700
79094,48239,MI,1142,
82220,55369,MN,1143,277200
90676,75081,TX,1144,267400
94388,84020,UT,1145,
70959,30213,GA,1146,
78998,48127,MI,1147,
97784,94578,CA,1148,
69361,27502,NC,1149,306900
78917,48035,MI,1150,
96792,92308,CA,1151,221100
81274,53188,WI,1152,
97228,93313,CA,1153,233700
95751,89012,NV,1154,334100
96190,90638,CA,1155,587800
95989,90008,CA,1156,849100
96791,92307,CA,1156,253300
99096,97128,OR,1157,305600
84651,60654,IL,1158,435100
75603,40272,KY,1159,113100
97434,93726,CA,1160,200900
80084,50023,IA,1161,
98412,95757,CA,1162,479800
95769,89030,NV,1163,
65783,19115,PA,1164,224500
67505,23060,VA,1165,292100
96410,91401,CA,1165,
91961,77471,TX,1166,
97531,94044,CA,1167,
96101,90241,CA,1168,554300
74245,37214,TN,1169,228600
96623,92069,CA,1170,584800
96117,90266,CA,1171,2290300
93196,80004,CO,1171,409700
70364,29209,SC,1172,
58481,1760,MA,1173,
97731,94523,CA,1173,
96383,91360,CA,1174,6.68E+05
97047,92840,CA,1175,5.67E+05
96884,92505,CA,1176,383700
64938,17112,PA,1177,186600
97101,93030,CA,1178,5.44E+05
94413,84047,UT,1179,
97758,94551,CA,1180,
96967,92649,CA,1181,828300
74580,38002,TN,1182,256500
61938,10950,NY,1183,
70906,30132,GA,1184,
64846,17013,PA,1185,167100
97788,94582,CA,1186,1094400
99538,98056,WA,1187,514800
77965,46112,IN,1188,
70870,30092,GA,1189,
96767,92262,CA,1190,371100
96548,91913,CA,1191,522900
67116,22015,VA,1192,
84310,60047,IL,1193,401600
97035,92821,CA,1193,683400
98382,95691,CA,1193,371500
61245,8901,NJ,1194,
84295,60030,IL,1195,2.07E+05
96843,92373,CA,1196,492600
96449,91604,CA,1197,1.23E+06
66850,21244,MD,1198,
72348,33010,FL,1198,285400
58984,2909,RI,1199,159400
73029,34205,FL,1200,157200
66139,20016,DC,1201,893600
69777,28214,NC,1202,1.74E+05
72370,33032,FL,1203,
96507,91767,CA,1204,435500
96150,90403,CA,1205,1312600
62334,12020,NY,1206,
75561,40207,KY,1206,
87855,68104,NE,1206,123600
82093,55082,MN,1207,344700
97005,92705,CA,1208,978300
72770,33707,FL,1209,
85963,63146,MO,1210,1.99E+05
76589,43221,OH,1211,308900
91313,76210,TX,1212,254800
95771,89032,NV,1213,
61780,10304,NY,1214,404500
81188,53066,WI,1215,
96163,90505,CA,1216,8.59E+05
99557,98087,WA,1217,452700
65307,18018,PA,1218,154800
96242,90808,CA,1219,685800
94998,85614,AZ,1220,160400
69412,27560,NC,1221,290200
72689,33573,FL,1222,
99623,98198,WA,1223,346400
89308,72023,AR,1224,
72773,33710,FL,1225,
70590,29605,SC,1226,172400
65671,18966,PA,1227,354100
98442,95833,CA,1228,304400
66645,20814,MD,1229,
84357,60103,IL,1230,259400
66221,20120,VA,1231,4.30E+05
70681,29710,SC,1232,251600
84591,60564,IL,1233,
98451,95843,CA,1234,345500
90228,74014,OK,1235,164700
94483,84123,UT,1236,
84388,60137,IL,1237,373800
93257,80128,CO,1238,391700
87063,66048,KS,1239,
77021,44121,OH,1240,
70996,30269,GA,1241,
64844,17011,PA,1242,187100
93594,80916,CO,1243,222300
61876,10583,NY,1244,1126100
63824,15001,PA,1245,103100
89387,72120,AR,1245,159900
70498,29466,SC,1246,
91869,77356,TX,1247,237800
66879,21403,MD,1248,
93302,80226,CO,1249,370300
93281,80204,CO,1250,384400
58518,1852,MA,1251,
99567,98107,WA,1252,7.86E+05
99760,98374,WA,1253,3.38E+05
67042,21784,MD,1254,376200
93297,80221,CO,1255,330700
72528,33309,FL,1256,185800
99494,98006,WA,1257,9.83E+05
72887,33884,FL,1258,1.76E+05
58459,1702,MA,1259,
94758,85042,AZ,1260,225200
95056,85718,AZ,1260,420700
79045,48186,MI,1261,
70631,29650,SC,1262,2.20E+05
96614,92058,CA,1262,422700
72797,33756,FL,1263,
99577,98117,WA,1263,781900
58674,2184,MA,1264,
80260,50265,IA,1265,188600
95845,89149,NV,1266,
66805,21157,MD,1267,264500
77682,45458,OH,1268,268400
67610,23235,VA,1269,252100
99517,98032,WA,1270,336900
99601,98155,WA,1271,559800
96401,91387,CA,1272,5.47E+05
94480,84120,UT,1273,
97359,93612,CA,1274,220900
71776,32084,FL,1275,212600
96644,92102,CA,1276,454200
94753,85037,AZ,1277,196200
66783,21113,MD,1278,
70954,30189,GA,1278,
94953,85379,AZ,1279,245500
58420,1545,MA,1280,
94849,85257,AZ,1281,314200
59218,3820,NH,1282,2.56E+05
61777,10301,NY,1282,473400
94827,85233,AZ,1283,286500
94466,84106,UT,1284,
73083,34285,FL,1285,232800
88826,70817,LA,1286,202600
96228,90744,CA,1287,416700
70818,30033,GA,1288,
93195,80003,CO,1289,369600
62233,11757,NY,1290,
81272,53186,WI,1291,
71899,32250,FL,1292,357600
72238,32812,FL,1293,245400
85856,63010,MO,1293,1.65E+05
399651,84096,UT,1294,
77100,44266,OH,1295,109900
66211,20109,VA,1296,260600
67121,22031,VA,1296,
77073,44221,OH,1297,122300
84540,60504,IL,1298,2.06E+05
85927,63109,MO,1299,180100
70866,30087,GA,1300,
67747,23503,VA,1300,2.09E+05
97766,94560,CA,1300,
99541,98059,WA,1301,583900
85943,63125,MO,1302,127500
69207,27104,NC,1303,209600
64937,17111,PA,1304,167600
93219,80031,CO,1304,343500
93598,80920,CO,1304,341400
70831,30046,GA,1305,
96492,91748,CA,1306,
70977,30238,GA,1307,
100170,99223,WA,1307,244400
85355,62234,IL,1308,
67658,23323,VA,1309,242400
97996,95128,CA,1310,1.11E+06
62133,11520,NY,1311,
62170,11590,NY,1312,
76978,44070,OH,1312,
96341,91306,CA,1313,5.60E+05
63943,15212,PA,1314,
84599,60586,IL,1315,
96016,90035,CA,1316,1435200
96933,92591,CA,1317,439100
96903,92543,CA,1318,208500
74559,37922,TN,1319,337100
81250,53151,WI,1319,
70127,28677,NC,1320,119800
60365,6513,CT,1321,
73411,35244,AL,1322,
73062,34243,FL,1323,270400
72621,33462,FL,1324,
75548,40165,KY,1325,195600
85857,63011,MO,1326,304600
78995,48124,MI,1327,
95082,85746,AZ,1328,156100
74248,37217,TN,1329,1.85E+05
93286,80209,CO,1330,707600
65782,19114,PA,1331,192700
76772,43613,OH,1331,
93283,80206,CO,1332,590800
96844,92374,CA,1333,358200
88815,70806,LA,1334,2.19E+05
417442,85138,AZ,1335,203900
92640,78729,TX,1336,293400
97535,94061,CA,1336,
91329,76248,TX,1337,
72367,33029,FL,1338,
93244,80112,CO,1338,420700
60750,7666,NJ,1339,
58553,1930,MA,1340,
79053,48195,MI,1341,
71859,32205,FL,1341,1.51E+05
58971,2893,RI,1342,227200
91891,77381,TX,1343,372600
75572,40218,KY,1344,
79123,48312,MI,1345,
61905,10801,NY,1346,515100
70801,30014,GA,1347,
99516,98031,WA,1348,425700
90681,75087,TX,1349,291500
71048,30329,GA,1350,
87498,67203,KS,1351,112400
94739,85023,AZ,1352,258500
99962,98683,WA,1353,354800
58443,1604,MA,1354,
96870,92410,CA,1355,227900
97072,92879,CA,1355,429100
74503,37830,TN,1356,132600
76955,44039,OH,1357,
66646,20815,MD,1358,
96921,92570,CA,1359,345600
92548,78610,TX,1360,259600
79124,48313,MI,1361,
65660,18951,PA,1362,
77973,46123,IN,1363,
94808,85213,AZ,1364,322300
69370,27511,NC,1365,254600
96029,90048,CA,1365,1284400
73208,34759,FL,1366,167100
96346,91311,CA,1367,
97365,93619,CA,1368,
84276,60007,IL,1369,
81236,53132,WI,1370,246600
99127,97213,OR,1370,466600
85253,62002,IL,1371,
72292,32904,FL,1372,234200
77412,45036,OH,1373,213100
97739,94531,CA,1374,
82283,55433,MN,1375,
91867,77354,TX,1376,321300
98386,95695,CA,1377,
97003,92703,CA,1378,434700
99146,97233,OR,1379,284100
84609,60607,IL,1380,401100
61152,8723,NJ,1381,
60290,6405,CT,1382,
99626,98203,WA,1382,365400
82268,55418,MN,1383,245600
96463,91701,CA,1384,
91887,77377,TX,1385,246200
66988,21703,MD,1386,267500
93207,80017,CO,1387,288800
99490,98002,WA,1387,295600
96747,92240,CA,1388,1.98E+05
96385,91362,CA,1389,802700
97701,94401,CA,1389,
84592,60565,IL,1390,
97007,92707,CA,1391,4.78E+05
72776,33713,FL,1392,195700
61991,11040,NY,1393,
73171,34683,FL,1394,264600
92034,77571,TX,1395,1.79E+05
70894,30117,GA,1396,
63967,15236,PA,1397,
80281,50310,IA,1398,155600
91187,76013,TX,1399,199900
71059,30341,GA,1400,
84361,60107,IL,1401,195800
73379,35209,AL,1402,
72465,33162,FL,1403,
63411,14086,NY,1404,160700
59003,3038,NH,1405,
67504,23059,VA,1406,359600
67820,23832,VA,1407,247100
86315,64068,MO,1408,193800
65819,19152,PA,1409,
95077,85741,AZ,1410,184900
93200,80010,CO,1411,287300
65754,19083,PA,1412,
76582,43214,OH,1413,276200
69454,27614,NC,1414,338500
58979,2904,RI,1415,
60786,7740,NJ,1416,
71904,32258,FL,1417,226300
97585,94131,CA,1418,
82123,55122,MN,1419,245900
79038,48178,MI,1420,
96649,92107,CA,1421,784200
66589,20735,MD,1422,
82110,55109,MN,1423,223700
73172,34684,FL,1424,
62232,11756,NY,1425,
60113,6053,CT,1426,
99123,97209,OR,1427,455800
69700,28079,NC,1428,
78907,48021,MI,1429,
94915,85339,AZ,1430,234600
95865,89178,NV,1431,289400
72805,33764,FL,1432,
78947,48071,MI,1433,123600
66260,20170,VA,1434,453400
67656,23321,VA,1434,233400
72400,33071,FL,1435,355400
96180,90620,CA,1436,582600
77919,46033,IN,1437,363100
66630,20783,MD,1438,
97333,93555,CA,1439,1.79E+05
99125,97211,OR,1440,5.01E+05
96049,90068,CA,1441,
72826,33801,FL,1442,119400
92255,78108,TX,1443,
58917,2816,RI,1444,
97505,94014,CA,1444,
89317,72032,AR,1445,
66794,21136,MD,1446,277300
61781,10305,NY,1447,535300
90673,75077,TX,1448,302600
99576,98116,WA,1449,7.06E+05
98444,95835,CA,1450,
97091,93012,CA,1451,584700
71765,32065,FL,1452,201400
96437,91505,CA,1453,804900
79734,49417,MI,1454,
96947,92612,CA,1455,719600
72722,33619,FL,1456,
97767,94561,CA,1457,
94763,85048,AZ,1458,325500
98417,95765,CA,1459,530200
73085,34287,FL,1460,170800
94427,84062,UT,1461,
99907,98604,WA,1462,373700
96922,92571,CA,1463,309800
99128,97214,OR,1464,534400
65725,19047,PA,1465,316300
91877,77365,TX,1465,220700
96013,90032,CA,1466,597700
95809,89113,NV,1467,273100
69397,27540,NC,1468,305500
79781,49505,MI,1469,152600
97065,92867,CA,1470,7.22E+05
96494,91750,CA,1471,643400
58983,2908,RI,1472,
97107,93036,CA,1473,504500
77942,46062,IN,1474,
97530,94043,CA,1475,1558900
66134,20010,DC,1476,594900
72896,33903,FL,1477,
84318,60060,IL,1478,224100
84655,60659,IL,1479,2.35E+05
75588,40245,KY,1480,
74642,38104,TN,1481,183100
67604,23229,VA,1482,289800
91223,76065,TX,1482,263700
85270,62025,IL,1483,193500
84572,60543,IL,1484,255400
71865,32211,FL,1485,124200
97728,94520,CA,1486,443900
99595,98144,WA,1487,710300
72836,33813,FL,1488,216100
70840,30060,GA,1488,
74560,37923,TN,1489,211300
96769,92264,CA,1490,335300
79707,49341,MI,1491,248700
80293,50322,IA,1492,192400
58458,1701,MA,1493,
99147,97236,OR,1494,319200
84551,60517,IL,1495,244400
61189,8820,NJ,1496,
84497,60446,IL,1497,
78007,46168,IN,1498,
72552,33334,FL,1499,305700
96241,90807,CA,1500,600400
99625,98201,WA,1501,324900
72619,33460,FL,1502,
77952,46074,IN,1503,317200
58871,2720,MA,1504,
399618,73012,OK,1504,218900
98353,95662,CA,1505,374500
69774,28211,NC,1506,417300
96295,91107,CA,1506,897500
75585,40241,KY,1507,
92638,78727,TX,1508,301700
63958,15227,PA,1509,
71781,32092,FL,1510,255900
65784,19116,PA,1511,245800
92628,78717,TX,1512,334300
60778,7731,NJ,1513,321300
66131,20007,DC,1514,994300
73144,34608,FL,1515,
72949,33990,FL,1516,
97039,92831,CA,1516,6.12E+05
72839,33823,FL,1517,176400
74482,37803,TN,1518,
69817,28270,NC,1519,3.51E+05
399671,89183,NV,1519,
96240,90806,CA,1520,535300
58495,1810,MA,1521,601800
94432,84067,UT,1522,247800
63647,14626,NY,1523,
63483,14226,NY,1524,169500
70492,29456,SC,1524,180600
97984,95116,CA,1525,678200
63928,15146,PA,1526,
92032,77566,TX,1526,223400
84355,60101,IL,1527,243600
60396,6614,CT,1528,
66837,21227,MD,1529,198700
60345,6489,CT,1530,
58662,2150,MA,1531,
96619,92065,CA,1532,518300
97081,93001,CA,1533,
94730,85014,AZ,1534,257400
91274,76131,TX,1535,2.34E+05
73013,34134,FL,1536,
99808,98444,WA,1536,254600
58209,1020,MA,1537,
67356,22701,VA,1538,
95982,90001,CA,1539,382800
63517,14424,NY,1540,
70815,30030,GA,1541,
96961,92629,CA,1541,1047200
98352,95661,CA,1542,502800
98043,95209,CA,1543,344900
94835,85143,AZ,1544,
96523,91790,CA,1545,548900
79017,48152,MI,1546,
93474,80601,CO,1547,326700
94375,84003,UT,1548,
96655,92113,CA,1548,394300
67335,22630,VA,1549,220800
65919,19426,PA,1550,
97025,92806,CA,1551,618500
62473,12203,NY,1552,
96292,91104,CA,1553,843400
71032,30312,GA,1554,
65803,19136,PA,1555,153800
72563,33351,FL,1555,203600
70623,29642,SC,1556,177700
66682,20877,MD,1557,355100
72810,33770,FL,1557,172500
71833,32168,FL,1558,
96090,90220,CA,1559,395200
91892,77382,TX,1560,328300
72236,32810,FL,1561,169700
88486,70123,LA,1561,229600
62253,11779,NY,1562,
70848,30068,GA,1563,
87880,68134,NE,1564,149800
67749,23505,VA,1565,201300
66847,21239,MD,1566,158500
71028,30308,GA,1567,
60431,6770,CT,1568,
76753,43560,OH,1569,194300
65706,19026,PA,1570,
97881,94941,CA,1571,1576700
77109,44281,OH,1572,164800
91316,76227,TX,1573,247200
98429,95820,CA,1574,263100
99826,98499,WA,1574,255100
72536,33317,FL,1575,283800
79092,48237,MI,1576,
73154,34652,FL,1577,102800
84420,60174,IL,1577,259100
70792,30005,GA,1578,
82282,55432,MN,1579,
60394,6611,CT,1580,
93243,80111,CO,1580,586200
67761,23518,VA,1581,207300
84309,60046,IL,1582,193300
93249,80120,CO,1583,416400
70491,29455,SC,1584,
70993,30265,GA,1584,
99608,98168,WA,1585,381700
66822,21212,MD,1586,273300
74237,37206,TN,1587,361500
90790,75238,TX,1588,
61805,10465,NY,1589,433200
73175,34689,FL,1590,
94798,85203,AZ,1591,246200
96522,91789,CA,1592,716100
94859,85268,AZ,1593,353400
72398,33069,FL,1594,161300
84649,60652,IL,1595,172100
93585,80907,CO,1596,271400
96102,90242,CA,1597,5.00E+05
85926,63108,MO,1598,287400
99948,98662,WA,1599,315600
79743,49426,MI,1600,
95831,89135,NV,1600,
79091,48236,MI,1601,
60164,6111,CT,1602,
70857,30078,GA,1603,
71773,32080,FL,1604,342800
99515,98030,WA,1604,387200
94430,84065,UT,1605,
93595,80917,CO,1605,253600
66700,20901,MD,1606,
63901,15102,PA,1607,
58632,2118,MA,1608,
92565,78628,TX,1608,
93330,80260,CO,1609,2.71E+05
70367,29212,SC,1610,
96513,91773,CA,1610,599500
96469,91711,CA,1611,624100
65087,17522,PA,1612,190800
71778,32086,FL,1613,222200
399660,85392,AZ,1614,239900
99694,98290,WA,1615,
96496,91754,CA,1616,638200
85946,63128,MO,1617,2.50E+05
63642,14621,NY,1618,
96378,91355,CA,1619,514600
65821,19154,PA,1620,197700
97026,92807,CA,1621,701500
72297,32909,FL,1622,163100
78943,48067,MI,1623,245900
82195,55343,MN,1623,
79799,49546,MI,1624,329600
399603,60169,IL,1625,222300
58605,2062,MA,1626,
58650,2136,MA,1627,
67774,23606,VA,1628,220100
66797,21144,MD,1629,
66037,19713,DE,1630,199300
79132,48322,MI,1631,
72607,33441,FL,1632,235200
97988,95120,CA,1633,1600700
94764,85050,AZ,1634,333500
96265,91001,CA,1635,812300
86357,64119,MO,1636,152100
65818,19151,PA,1637,136100
97793,94588,CA,1637,
70621,29640,SC,1638,124100
66566,20706,MD,1639,300700
78100,46342,IN,1639,140500
77683,45459,OH,1640,209900
70594,29609,SC,1641,209100
77399,45005,OH,1642,134500
67721,23453,VA,1643,
81386,53562,WI,1644,303600
88818,70809,LA,1644,215500
422746,75033,TX,1644,408400
74153,37072,TN,1645,
95803,89107,NV,1646,
77993,46151,IN,1647,
81242,53142,WI,1647,
63431,14127,NY,1648,252600
66690,20886,MD,1649,
63948,15217,PA,1650,
96373,91350,CA,1651,536500
