Zip,City,State,Metro,CountyName,SizeRank,Latitude,Longitude,ForecastYoYPctChange,MedianPrice,Zhvi,MoM,QoQ,YoY,PeakZHVI,PctFallFromPeak,PriceToRentRatio,MarketHealthIndex,SellForGain,NegativeEquity,Delinquency,DaysOnMarket,MedianPricePerSqft
8322,Franklin,NJ,Philadelphia,Gloucester,8331,39.593529,-75.055354,5.914812805,186400,184300,0.007103825,0.018232044,0.04006772,230000,-0.198695652,11.2,0.791764543,83.33,0.174585003,0.150819672,90,103.6770186
83221,Blackfoot,ID,Blackfoot,Bingham,4679,43.251328,-112.464518,3.681688534,189950,175300,0.00689259,0.007471264,0,182200,-0.037870472,11.37,3.929805168,,0.041814316,0.025423729,56,132.9110704
8330,Hamilton,NJ,Atlantic City,Atlantic,3467,39.47204,-74.71588,4.788925081,165450,153500,0.005897772,0.022651566,0.063756064,242900,-0.368052697,9.15,1.170374465,72.73,0.327860818,0.112855007,119,108.0729167
83301,Twin Falls,ID,Twin Falls,Twin Falls,449,42.400555,-114.524876,3.71257485,221888.5,183700,0.004373975,0.006575342,0.12217471,183700,0,12.75,7.722122426,,0.048847926,0.012578616,54,124.7852332
8332,Millville,NJ,Vineland,Cumberland,2196,39.370401,-75.04282,1.376470588,110000,119000,0.00252738,0.00252738,0.146435453,158100,-0.247311828,8.11,0.800746166,77.78,0.153783784,0.156414763,121,80.5875576
83338,Jerome,ID,Twin Falls,Jerome,6107,42.736869,-114.374568,1.768035516,205000,180200,0.003340757,0.020963173,0.093446602,180200,0,12.21,7.573580213,,0.037284895,0.012820513,72,115.1695863
83341,Kimberly,ID,Twin Falls,Twin Falls,9079,42.50541,-114.367966,5.409544469,292500,230500,0.017210944,0.048680619,0.158291457,230500,0,13.53,9.83142186,,0.032057911,0,54,130.3057287
83401,Idaho Falls,ID,Idaho Falls,Bonneville,2085,43.54241,-111.877936,0.572210066,235000,182800,0.00827358,0.036868973,0.091995221,182800,0,12.24,4.321542075,0,0.033200531,0.017142857,49,101.5530104
83402,Idaho Falls,ID,Idaho Falls,Bonneville,4195,43.484209,-112.044416,0.591041303,185900,171900,0.009988249,0.041818182,0.131665569,171900,0,12.17,7.47340058,,0.03800825,0.007751938,47,99.96551724
83404,Idaho Falls,ID,Idaho Falls,Bonneville,4907,43.422785,-112.012073,0.964539007,250000,211500,0.010028653,0.045994065,0.119047619,211500,0,13.15,4.461793561,0,0.041281912,0.019736842,46,96.64478483
83406,Ammon,ID,Idaho Falls,Bonneville,7009,43.410311,-111.948862,1.977686703,265700,219600,0.012448133,0.045216564,0.162519852,219600,0,13.1,8.575376537,,0.036942675,0.022988506,51,101.7665131
8344,Franklin,NJ,Philadelphia,Gloucester,9346,39.553184,-74.999459,5.263513514,169000,162800,0.003699137,0.009925558,0.079575597,198500,-0.179848866,11.04,1.409423794,75,0.141891892,0.076190476,90,103.3545247
83440,Rexburg,ID,Rexburg,Madison,3162,43.79132,-111.771375,1.595688517,235000,227300,0.001321586,0.011120996,0.057209302,227300,0,14.66,1.506839851,,0.065401897,0.030534351,52,105.0583965
83442,Rigby,ID,Idaho Falls,Jefferson,6300,43.692206,-111.889325,0.824367816,268400,217500,-0.010914052,-0.064918315,0.017305893,233900,-0.070115434,12.75,2.295840818,,0.025530385,0,56,165.6626506
83455,Victor,ID,Jackson,Teton,9440,43.63848,-111.132302,2.064991808,454500,366200,0.009093414,0.04152446,0.12090603,366200,0,18.54,9.863893879,,0.029411765,0,95,227.7337287
83467,Salmon,ID,,Lemhi,8846,45.171856,-113.921041,5.853670886,269900,197500,0.008167432,0.038926881,0.152948044,197500,0,15.61,9.157109299,,0.03814262,0.086956522,,145.4926367
83501,Lewiston,ID,Lewiston,Nez Perce,1634,46.3646,-116.860852,6.402731983,234950,212300,0.004257332,0.022147328,0.082610913,212300,0,13.2,6.656763852,0,0.031006117,0.020408163,58,114.2496285
83544,Orofino,ID,,Clearwater,9186,46.4976,-116.184848,4.011269276,224500,168600,0.00476758,0.040740741,0.115079365,168600,0,15.66,9.640044217,,0.048951049,0,,118.2353106
8360,Vineland,NJ,Vineland,Cumberland,1758,39.495524,-75.008665,3.365727003,144900,134800,0.00297619,0.005970149,0.028222731,177900,-0.242270939,9.17,0.14785132,71.43,0.145411204,0.150819672,94,105.5849112
