RegionType,RegionName,City,State,Metro,CBSATitle,SizeRank,MarketHealthIndex,SellForGain,PrevForeclosed,ForeclosureRatio,ZHVI,MoM,YoY,ForecastYoYPctChange,StockOfREOs,NegativeEquity,Delinquency,DaysOnMarket
Zip,90012,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,5.472571508,66.67,,,570100,0.228551336,11.19563097,0.03910542,,0.128968254,0.015384615,81.5
Zip,90013,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,3.401271245,100,,,565500,-1.617954071,-5.734289048,0.015694076,,0.106435644,0,59
Zip,90014,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,8.609921238,100,9.0909,,539400,0.784753363,7.002578853,0.083453838,,0.147058824,0,59
Zip,90015,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,7.03468288,100,,,646500,-0.231481481,-1.267562615,0.06133488,,0.122324159,0,92
Zip,90016,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,7.939754042,100,7.75,,699500,0.502873563,11.86630417,0.076530379,,0.030651341,0.045454545,49.5
Zip,90017,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,5.505043526,100,,14.1243,609300,0.511382382,-1.37584979,0.055219104,,0.146853147,0,59
Zip,90018,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,9.825894708,100,,1.9037,669000,0.828937453,9.546422139,0.091877429,,0.035765379,0.013333333,61
Zip,90019,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,9.68011607,100,3.7037,1.6336,1107500,0.054205439,15.38862263,0.034800903,,0.023340961,0,66
Zip,90020,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,5.657731104,66.67,,9.9056,544200,-0.238313474,7.65578635,0.064728041,,0.063235294,0,66
Zip,90022,East Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",,7.796048086,77.78,,1.6189,441600,0.340831629,6.744017404,0.082103714,,0.049794239,0.024793388,67
